clade_name	FlintA_2023__SRR22865494	FlintA_2023__SRR22865522	FlintA_2023__SRR22865493	FlintA_2023__SRR22865520	FlintA_2023__SRR22865497	FlintA_2023__SRR22865492	FlintA_2023__SRR22865500	FlintA_2023__SRR22865521	FlintA_2023__SRR22865523	FlintA_2023__SRR22865496	FlintA_2023__SRR22865495	FlintA_2023__SRR22865511
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_lutrae|t__SGB7921	0.0	0.0	0.0	0.79453	0.0	0.0	0.0	1.42565	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_formosensis|t__SGB7981	0.0	0.0	0.0	0.49258	0.0	0.0	0.0	0.00875	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_thailandicus|t__SGB7965	0.0	0.0	0.0	0.43574	0.0	0.00026	0.0	0.01222	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_indicum|t__SGB8326_group	0.0	0.0	0.0	0.31046	0.0	0.0	0.0	0.27879	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_aquimarinus|t__SGB7976	0.0	0.0	0.0	0.26824	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918	0.0	0.0	0.0	0.26031	0.0	0.0	0.0	0.40438	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_terrae|t__SGB9996	0.0	0.0	0.0	0.24025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sphaericus|t__SGB7490	0.0	0.0	0.0	0.18086	0.0	0.0	0.0	5.6582	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis|t__SGB10464	0.0	0.0	0.0	0.17108	0.0	0.0	0.0	0.05797	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7968	0.0	0.0	0.0	0.13788	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sulfidigenes|t__SGB6235	0.0	0.0	0.0	0.13683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_profundum|t__SGB8320	0.0	0.0	0.0	0.13333	0.0	0.0	0.0	1.03283	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_haemolyticus|t__SGB10369	0.0	0.0	0.0	0.12467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
