sample	LimaC_2020__SRR9640343	LimaC_2020__SRR9640344	LimaC_2020__SRR9640345	LimaC_2020__SRR9640346	LimaC_2020__SRR9640347	LimaC_2020__SRR9640348	LimaC_2020__SRR9640350	LimaC_2020__SRR9640351	LimaC_2020__SRR9640352	LimaC_2020__SRR9640353	LimaC_2020__SRR9640354	LimaC_2020__SRR9640355	LimaC_2020__SRR9640356	LimaC_2020__SRR9646966
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_sp_FXV3|t__SGB89228	0.0	0.00054	0.0	0.0	0.0	0.0	0.0	0.00216	0.0	0.0	0.0	0.00193	0.0	0.01266
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM130|t__SGB92518	1.26713	0.0386	0.0	0.57559	0.03113	0.00029	0.0	0.01485	0.00204	0.32379	0.14228	0.66976	0.20233	0.01322
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_SGB211856|t__SGB211856	21.38717	1.47624	0.08123	15.08249	0.61568	0.05404	0.00979	0.6713	0.17053	8.58429	3.12609	8.99881	4.3009	0.30385
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Novacetimonas|s__Novacetimonas_pomaceti|t__SGB24150	0.0	0.0	0.0	0.0	0.02885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00827
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_intermedius|t__SGB1176	0.0	0.00294	0.0	0.0	0.00269	0.0	0.0	0.03811	0.00122	0.0	0.0	0.04604	0.0	0.00234
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_frateurii|t__SGB1163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	0.0	0.0	0.0	0.00295	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM118|t__SGB92519	1.31557	0.07653	0.00319	3.6817	0.03066	0.00193	0.0	0.02822	0.03639	0.8617	0.57422	0.41209	0.64548	0.01241
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_entanii|t__SGB24152	0.0	0.00414	0.00575	0.0	0.01492	0.00026	0.0	0.00453	0.0	0.0	0.0	0.0	0.0	0.01249
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum|t__SGB1202	0.00557	0.01926	0.0057	0.0	0.00222	0.0	0.0	0.0254	0.01572	0.06858	0.1469	0.31161	0.17903	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_thailandicus|t__SGB1186	0.44438	0.0529	0.01109	1.73768	0.01011	0.00988	0.00083	0.01536	0.10183	0.46294	0.90263	0.33499	2.4786	0.00843
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_melomenusus|t__SGB89225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_citrea|t__SGB10293	10.00913	0.51277	0.03658	4.81858	0.19711	0.02205	0.00126	0.17745	0.05148	2.61254	1.44861	3.59019	2.13549	0.09996
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Starmera|s__Candida_stellimalicola|t__EUK56415	0.01219	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.00201	0.0	0.01493	0.01482	0.0
