clade_name	LeonardSR_2015__SRR2177250	LeonardSR_2015__SRR2177251	LeonardSR_2015__SRR2177280	LeonardSR_2015__SRR2177281	LeonardSR_2015__SRR2177282	LeonardSR_2015__SRR2177283	LeonardSR_2015__SRR2177284	LeonardSR_2015__SRR2177285	LeonardSR_2015__SRR2177286	LeonardSR_2015__SRR2177287	LeonardSR_2015__SRR2177288	LeonardSR_2015__SRR2177357	LeonardSR_2015__SRR2177358	LeonardSR_2015__SRR2177359	LeonardSR_2015__SRR2177360	LeonardSR_2015__SRR2177361
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_edaphica|t__SGB12157	0.15096	0.22423	0.24544	2.45219	0.0	2.12481	0.27675	0.0	0.0	0.17574	0.4874	0.62997	0.83165	0.93454	0.19788	0.12691
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_rivipollensis|t__SGB9956	0.11161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67386	0.66114	15.07548	0.0	4.01112	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella_zoogloeoides|t__SGB12864	0.10731	0.01496	0.0	0.75849	0.0	0.0	0.82759	0.0	0.0	0.00152	0.19208	0.43651	0.19627	0.0	0.02871	0.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_faecium|t__SGB3147	0.10286	0.0	0.0	0.09468	0.0	0.0	0.6324	0.0	0.0	0.0	0.08971	0.03557	0.17538	0.0	0.08002	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_terrestris|t__SGB31323	0.09232	0.00458	0.0	0.07158	0.0	0.0	0.0	0.0	0.0	0.00709	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_tritici|t__SGB12144	0.08535	0.28317	0.06597	2.87873	0.0	0.36462	0.2831	0.0	0.0	0.21277	1.3078	1.76751	0.71518	1.35897	0.27953	0.56703
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_viridiflava|t__SGB12083	0.08351	0.31836	0.07522	4.45478	0.0	0.91595	0.38932	0.0	0.0	0.08674	6.18405	3.26119	2.98418	0.0168	1.1491	0.01074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Bacillales_unclassified|s__Bacillales_bacterium|t__SGB82631	0.08231	0.33576	0.0	0.00939	0.0	0.0	0.0	0.0	0.0	0.39382	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia_intermedia|t__SGB10229	0.0782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_lactis|t__SGB7121	0.07137	0.0	0.75782	0.0	0.02406	0.0	0.0	0.00489	0.24355	0.06112	0.0	0.0	0.0	6.23113	0.0	55.15243
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_media|t__SGB9957	0.07018	0.07107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32666	0.02557	0.01335	0.0	0.0	4.16937	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_ananatis|t__SGB10194	0.06818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_simiae|t__SGB12145	0.06766	0.0658	0.0	0.57965	0.0	0.06178	0.24177	0.0	0.0	0.03185	0.0	0.0526	0.00164	0.25783	0.0	0.28658
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Paeniglutamicibacter|s__Paeniglutamicibacter_SGB98500|t__SGB98500	0.06508	0.0	0.0	0.0	0.0	0.0	1.22453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_grimontii|t__SGB12139	0.05765	0.0	0.0	0.0381	0.0	0.0	0.09748	0.0	0.0	0.0	0.03869	0.02172	0.0	0.25051	0.0	0.14578
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_megaterium|t__SGB7678	0.05731	0.0	0.27339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07199	0.0802
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_paranthracis|t__SGB7703_group	0.05695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51295	0.0	0.0	0.0	0.0	0.0	0.03347	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_flaccumfaciens|t__SGB16807	0.05449	0.0	0.0	0.08	0.0	0.0	0.02469	0.0	0.0	0.0398	0.19016	0.22115	0.23151	0.0	0.0649	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_trivialis|t__SGB12122	0.05343	0.03971	0.05215	0.33536	0.0	0.37394	0.08329	0.0	0.0	0.0	0.04014	0.02166	0.0	0.07439	0.0	0.04213
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__SGB10131	0.04519	0.0	0.0	0.0	4.01702	0.0	0.0	13.53941	0.25626	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_marginalis|t__SGB12138	0.0358	0.06782	0.0	0.95007	0.0	0.08109	0.12224	0.0	0.0	0.01349	0.15769	0.22378	0.12672	0.12762	0.02876	0.02997
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_seleniipraecipitans|t__SGB22863	0.03565	0.0	0.0	0.06808	0.0	0.0	0.06954	0.0	0.0	0.0	0.178	0.56802	0.34422	0.0	0.05451	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_synxantha|t__SGB12126	0.03487	0.19765	0.0	0.12756	0.0	0.0	0.19798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_psychrolactophilus|t__SGB23764	0.03431	0.0	0.0	0.0	0.0	0.0	0.58678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lactucae|t__SGB12131	0.03252	0.10977	0.03009	3.99211	0.0	0.13207	0.0024	0.0	0.0	0.03531	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_SGB98507|t__SGB98507	0.03249	0.0	0.0	0.0	0.0	0.0	0.41295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_syringae|t__SGB12081	0.02202	0.0	0.0	0.0446	0.0	0.0	0.21865	0.0	0.0	0.00031	0.00809	0.01368	0.00078	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_branchiarum|t__SGB97785	0.02192	0.0	0.0	0.0	0.0	0.0	0.62204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens|t__SGB12301	0.01948	0.00199	0.0	0.17588	0.0	0.0	0.03289	0.0	0.0	0.00529	0.02587	0.93756	0.36191	0.0	0.00385	0.00116
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_psychrotolerans|t__SGB12843	0.01882	0.0	0.0	0.0741	0.0	0.0	0.13095	0.0	0.0	0.0	0.08451	0.07574	0.04709	0.0	0.01506	0.0
