dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_bases	n_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_(HQ+MQ)	n_MAGs_MQ	n_MAGs_HQ	n_MAGs_all	filtered	curator
AlvarezOrdonezA_xxxx	F04-17	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6426395190	44955398	75	151.0	142.9504681506768	151	81300	2	2	0	5		Niccolò Carlino
AlvarezOrdonezA_xxxx	F04-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6475230624	43819292	75	151.0	147.77122880031928	151	74950	1	1	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F04-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6654422361	44793006	75	151.0	148.5594059260055	151	87733	0	0	0	5		Niccolò Carlino
AlvarezOrdonezA_xxxx	F04-31A	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7553932315	50865606	75	151.0	148.5076638033173	151	125389	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F04-31B	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7973591358	54849109	75	151.0	145.3732157800412	151	165674	0	0	0	5		Niccolò Carlino
AlvarezOrdonezA_xxxx	F05-16	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7427884117	50607542	75	151.0	146.77425188917493	151	35882	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F05-17	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7536299779	50794813	75	151.0	148.36750711140525	151	57827	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F05-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8558191756	59025201	75	151.0	144.99216624438094	151	31724	4	2	2	11		Niccolò Carlino
AlvarezOrdonezA_xxxx	F05-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9179955958	61694106	75	151.0	148.79794121662124	151	28890	5	3	2	18		Niccolò Carlino
AlvarezOrdonezA_xxxx	F05-31A	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8895767337	60427334	75	151.0	147.21429439531454	151	91136	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F05-31B	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7197201739	49404659	75	151.0	145.67860369201213	151	31194	0	0	0	3		Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-16	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7376222608	49426793	75	151.0	149.23530660789584	151	152007	2	1	1	12		Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-17	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8224612185	55889208	75	151.0	147.15921873503737	151	113236	2	1	1	16		Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8728868745	59681107	75	151.0	146.25849257454288	151	22478	2	2	0	8		Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9731547958	65155903	75	151.0	149.35788639135276	151	20998	3	3	0	10		Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-31A	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8847696737	59459927	75	151.0	148.80100234566382	151	52686	3	2	1	9		Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-31B	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8238658112	55525063	75	151.0	148.37728526305318	151	48626	1	1	0	11		Niccolò Carlino
AlvarezOrdonezA_xxxx	F07-16	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7648213048	52754031	75	151.0	144.97874196570874	151	166686	0	0	0	3		Niccolò Carlino
AlvarezOrdonezA_xxxx	F07-17	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6924898534	47450210	75	151.0	145.94031373096135	151	154354	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F07-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7543218848	51390607	75	151.0	146.782053926703	151	123360	4	1	3	16		Niccolò Carlino
AlvarezOrdonezA_xxxx	F07-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7086980319	48105615	75	151.0	147.32127047954796	151	108212	1	0	1	11		Niccolò Carlino
AlvarezOrdonezA_xxxx	F07-31A	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8016555241	54120442	75	151.0	148.12434903986926	151	238982	0	0	0	6		Niccolò Carlino
AlvarezOrdonezA_xxxx	F07-31B	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7837940588	52686540	75	151.0	148.76552128873902	151	195445	0	0	0	5		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-20	food	dairy	milk	raw_milk		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8926133453	60071550	75	151.0	148.59169528670395	151	95749	1	0	1	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-21	food	dairy	whey	whey		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8099896965	54505864	75	151.0	148.60597320317683	151	14484	3	1	2	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-22	food	dairy	cheese_brine	brine		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9400237037	62994645	75	151.0	149.22279563604175	151	26538	11	8	3	27		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-23	food	dairy	cheese	cheese_1_before_ripening;core		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7510950433	50672558	75	151.0	148.2252076755233	151	9083	5	3	2	12		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-23X	food	dairy	cheese			ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9803572766	65705635	75	151.0	149.20444442854864	151	8796	5	2	3	9		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-24	food	dairy	cheese	cheese_2_before_ripening;core		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9170546672	62894435	75	151.0	145.80855479503074	151	1466	2	1	1	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	Q01-25	food	dairy	cheese	cheese_1_before_ripening;rind		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7912701715	53139939	75	151.0	148.9031012060439	151	9906	5	3	2	12		Niccolò Carlino
