mag	dataset_name	sample_id	sgb_id	Unknown	Level of assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	genome_size	# contigs	N50 (contigs)	completeness	contamination	GC	strain_heterogeneity
MASTER_WP4_CSIC_2__P2569__bin.26	MASTER_WP4_CSIC_2	P2569	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2122457	111	26564	95.27529762	0.3125	0.4627697993	100
MASTER_WP4_CSIC_2__P2581__bin.19	MASTER_WP4_CSIC_2	P2581	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1782363	360	5457	81.71875	1.510416667	0.4615574942	80
MASTER_WP4_CSIC_2__P2585__bin.15	MASTER_WP4_CSIC_2	P2585	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1330429	261	6131	76.8515625	3.333333333	0.4648590793	75
MASTER_WP4_CSIC_2__P2588__bin.2	MASTER_WP4_CSIC_2	P2588	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1869227	215	10893	89.89583333	1.677083333	0.4639441866	0
MASTER_WP4_CSIC_2__P2590__bin.12	MASTER_WP4_CSIC_2	P2590	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1476685	301	5777	84.42782738	4.962121212	0.4658793175	53.33
MASTER_WP4_CSIC_2__P2610__bin.18	MASTER_WP4_CSIC_2	P2610	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1501753	263	6599	58.68495784	0.625	0.4657543551	0
MASTER_WP4_CSIC_2__P2619__bin.8	MASTER_WP4_CSIC_2	P2619	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2070811	301	8585	88.55654762	1.875	0.4592331217	100
MASTER_WP4_CSIC_2__P2621__bin.8	MASTER_WP4_CSIC_2	P2621	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2279849	306	9866	91.47786458	1.354166667	0.4612976561	66.67
MASTER_WP4_CSIC_2__P2625__bin.17	MASTER_WP4_CSIC_2	P2625	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2317340	92	41534	96.5625	0.08928571429	0.46077658	100
MASTER_WP4_CSIC_2__P2626__bin.14	MASTER_WP4_CSIC_2	P2626	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2319536	73	45915	94.53125	0.3125	0.4614190079	100
