	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016
sample	LeonardSR_2016__SRS1659769	LeonardSR_2016__SRS1659770	LeonardSR_2016__SRS1659771	LeonardSR_2016__SRS1659772	LeonardSR_2016__SRS1659773	LeonardSR_2016__SRS1659774	LeonardSR_2016__SRS1659775	LeonardSR_2016__SRS1659776	LeonardSR_2016__SRS1659777	LeonardSR_2016__SRS1659778	LeonardSR_2016__SRS1659779	LeonardSR_2016__SRS1659780
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food
category	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables
type	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach
subtype	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
source	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata|t__SGB10150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31015	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Siccibacter|s__Siccibacter_colletis|t__SGB31144	0.0059	0.94705	1.88157	0.0	0.93109	0.0	0.0	0.0	0.0	0.0	0.0	0.01223
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter_muytjensii|t__SGB10094	0.0	0.29466	0.0	0.0	0.0	0.0	0.0	0.02111	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_werkmanii|t__SGB10080	0.0	0.0	0.0	0.0	0.10807	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0365	0.0	0.0	0.09474
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_pasteurii|t__SGB81747	0.0	0.03021	0.0428	0.0	0.8164	5.81952	0.0	0.0	0.0	0.0	0.0063	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_sp_Helios|t__SGB24984	0.04082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_artemiae|t__SGB8330	0.11415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12739
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_branchiarum|t__SGB97785	0.0206	0.02182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00607
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_sedlakii|t__SGB10078	0.0	0.06397	0.0	0.0	0.0	0.00199	0.0	0.0	0.0	0.0	0.0	0.00366
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_sp_PGRG2|t__SGB31132	0.37805	0.2669	0.2253	0.5921	0.0	0.06308	0.0	0.0	1.02752	0.0	0.0	1.55039
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter_turicensis|t__SGB10092	0.05138	0.0	0.09987	0.26141	1.04097	0.11886	0.13488	0.67416	0.12812	0.44699	3.48184	0.02491
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_odorifera|t__SGB110044	0.0	0.0942	0.0	0.0	0.0	0.0	0.0	0.0	0.14646	0.0	0.0	0.45867
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_meridianamericanus|t__SGB58198	0.0	0.0	0.05719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter_universalis|t__SGB10091	0.0	0.0	0.0	0.0	0.0	0.25501	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_alhagi|t__SGB10161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01887	0.0	0.0	0.0	0.0
